1756067175, 40m, 7074373, FT8, M0ABG, JO02SF, 223, 'Tx', F4JND, JN36EG, 227, -9
1756067204, 40m, 7075445, FT8, M7SZB, IO94FU, 223, 'Tx', M7ECR, JO01NE, 223, -15
1756067097, 15m, 21075945, FT8, M0KYU, IO83VL, 223, 'Tx', KD2ZYW, FN13DA, 291, -2
1756067217, 20m, 14076393, FT8, G1OVA, IO93GM, 223, 'Tx', UW5IM, KN68NQ, 288, -16
1756067175, 10m, 28074917, FT8, M0KKB, JO01MG, 223, 'Tx', 9A1AD, JN85LM, 497, -17
1756066905, 80m, 3574818, FT8, G6CZC, IO94EL, 223, 'Tx', YL1VA, KO07WN, 145, -17
1756067130, 80m, 3574842, FT8, 2E0LOD, JO01GJ, 223, 'Tx', YL1VA, KO07WN, 145, -22
1756066935, 80m, 3574764, FT8, G6CZC, IO94EL, 223, 'Tx', OE3XHU, JN88AN, 206, -24
1756067100, 80m, 3574789, FT8, 2E0LOD, JO01GJ, 223, 'Tx', OE3XHU, JN88AN, 206, -24
1756067217, 15m, 21074588, FT8, G6CZC, IO94EL, 223, 'Tx', EA4T, IN70XK, 281, -7
1756067040, 40m, 7074937, FT8, M7CWF, IO93JI, 223, 'Tx', ON5KQ, JO10OS38, 209, -34
1756067085, 40m, 7075096, FT8, M7DTJ, IO83VM, 223, 'Tx', ON5KQ, JO10OS38, 209, -29
1756067085, 40m, 7076249, FT8, G0CGD, IO83NF, 223, 'Tx', ON5KQ, JO10OS38, 209, -23
1756067085, 40m, 7076999, FT8, G7CNF, IO81RE35, 223, 'Tx', ON5KQ, JO10OS38, 209, -32
1756067175, 40m, 7074374, FT8, M0ABG, JO02SF, 223, 'Tx', ON5KQ, JO10OS38, 209, -29
1756067190, 40m, 7075446, FT8, M7SZB, IO94FU, 223, 'Tx', ON5KQ, JO10OS38, 209, -24
1756067190, 40m, 7076218, FT8, M7NFV, JO02OQ, 223, 'Tx', ON5KQ, JO10OS38, 209, -28
1756067130, 15m, 21074997, FT8, G3YZO, JO02CA, 223, 'Tx', WA2RKN, FN31AR, 291, -15
1756067190, 20m, 14074892, FT8, GB5FPS, IO93TK, 223, 'Tx', HA8TKS, JN96UV18, 239, 2
1756067097, 15m, 21075304, FT8, G4DPZ, IO82XL72, 223, 'Tx', N0EUV, FM08RO, 291, -15
1756067190, 40m, 7075454, FT8, M7SZB, IO94FU, 223, 'Tx', CT1EYQ, IM58OB, 272, -13
1756067220, 15m, 21074585, FT8, G6CZC, IO94EL, 223, 'Tx', VE3EIB, EN93TI31, 1, -22
1756067221, 15m, 21075376, FT8, G3YZO, JO02CA, 223, 'Tx', VE3EIB, EN93TI31, 1, -20
1756067220, 15m, 21075744, FT8, M1DBW, IO91CO, 223, 'Tx', KL3RR, BP51AD18, 6, -19
1756067187, 15m, 21075405, FT8, G3YZO, JO02CA, 223, 'Tx', IT9GMD, JM77MM62, 248, -4
1756067217, 15m, 21074600, FT8, G6CZC, IO94EL, 223, 'Tx', IT9GMD, JM77MM62, 248, -11
1756066934, 15m, 21075102, FT8, M0OOV, JO01AM, 223, 'Tx', CT7.F5AUI, IM59NU, 272, -18
1756066979, 15m, 21074538, FT8, G7SLB, IO92QH, 223, 'Tx', CT7.F5AUI, IM59NU, 272, -14
1756067099, 15m, 21075283, FT8, G4DPZ, IO82XL72, 223, 'Tx', CT7.F5AUI, IM59NU, 272, -6
1756066949, 20m, 14075754, FT8, M0SZL, IO91UL, 223, 'Tx', IK0XKP, JN61IS, 248, -11
1756066979, 20m, 14076219, FT8, M7NFV, JO02OQ, 223, 'Tx', IK0XKP, JN61IS, 248, -5
1756067024, 20m, 14076454, FT8, G0OSK, IO91XT, 223, 'Tx', IK0XKP, JN61IS, 248, -2
1756067039, 20m, 14074880, FT8, 2E0XDZ, IO91XC, 223, 'Tx', IK0XKP, JN61IS, 248, -3
1756067039, 20m, 14076512, FT8, M7HZJ, IO94ES, 223, 'Tx', IK0XKP, JN61IS, 248, -9
1756067040, 20m, 14076111, FT8, 2E0OEW, JO01FJ, 223, 'Tx', IK0XKP, JN61IS, 248, -14
1756067130, 20m, 14074510, FT8, M0UNG, IO83WJ, 223, 'Tx', IK0XKP, JN61IS, 248, -14
1756067160, 20m, 14076407, FT8, G1OVA, IO93GM, 223, 'Tx', IK0XKP, JN61IS, 248, -9
1756067205, 20m, 14076063, FT8, M7LYG, IO93, 223, 'Tx', IK0XKP, JN61IS, 248, -12
1756067219, 15m, 21074591, FT8, G6CZC, IO94EL, 223, 'Tx', DL8SBD, JN49OD, 230, -24
1756067219, 15m, 21075390, FT8, G3YZO, JO02CA, 223, 'Tx', EA8AIN, IL18CQ, 29, -4
1756067132, 40m, 7076306, FT8, M7NFV, JO02OQ, 223, 'Tx', PD2NLX, JO11XP, 263, -7
1756067176, 40m, 7074463, FT8, M0ABG, JO02SF, 223, 'Tx', PD2NLX, JO11XP, 263, -8
1756067192, 40m, 7075531, FT8, M7SZB, IO94FU, 223, 'Tx', PD2NLX, JO11XP, 263, -16
1756067087, 15m, 21075277, FT8, G4DPZ, IO82XL72, 223, 'Tx', K3LR, EN91SE60, 291, -28
1756067177, 15m, 21075936, FT8, M0KYU, IO83VL, 223, 'Tx', K3LR, EN91SE60, 291, -23
1756067216, 15m, 21075937, FT8, M0KYU, IO83VL, 223, 'Tx', WB0N, EN34HT88CW, 291, -16
1756067216, 15m, 21075724, FT8, M1DBW, IO91CO, 223, 'Tx', WB0N, EN34HT88CW, 291, -5
1756067204, 40m, 7075448, FT8, M7SZB, IO94FU, 223, 'Tx', F1TRF, JN39CC58, 227, -22
1756067189, 20m, 14074515, FT8, M0UNG, IO83WJ, 223, 'Tx', IU8PLP, JN70HV, 248, -24
1756067202, 20m, 14076067, FT8, M7LYG, IO93, 223, 'Tx', IU8PLP, JN70HV, 248, -23
1756067204, 15m, 21074460, FT8, M0MLS, IO92AN, 223, 'Tx', SP3QDM, JO82EF55QS, 269, -18
1756067219, 15m, 21075362, FT8, G3YZO, JO02CA, 223, 'Tx', NA3M, FM19JE71WC, 291, -15
1756067232, 15m, 21076059, FT8, G4SZD, IO94DR, 223, 'Tx', N9SES, EN61IN86, 291, -9
1756067202, 40m, 7075445, FT8, M7SZB, IO94FU, 223, 'Tx', OH1IB, KP10HM, 224, -17
1756067202, 20m, 14076058, FT8, M7LYG, IO93, 223, 'Tx', KB3ZKD, FM19LN, 291, -17
1756067202, 20m, 14076059, FT8, M7LYG, IO93, 223, 'Tx', K1RV, FN42MD, 291, -7
1756067157, 20m, 14074513, FT8, M0UNG, IO83WJ, 223, 'Tx', IU1KAX, JN45GT, 248, -14
1756067203, 20m, 14076065, FT8, M7LYG, IO93, 223, 'Tx', IU1KAX, JN45GT, 248, -16
1756067232, 20m, 14077097, FT8, G8KVM, IO83WB, 223, 'Tx', HI8J, FK58AL, 72, -24
1756067133, 40m, 7076364, FT8, G1WFJ, IO82WM, 223, 'Tx', IZ8PPI, JM89AE, 248, -12
1756067190, 20m, 14075881, FT8, M0SZL, IO91UL, 223, 'Tx', CX2CN, GF15WD, 144, -19
1756067223, 20m, 14075850, FT8, 2E0OEW, JO01FJ, 223, 'Tx', CX2CN, GF15WD, 144, -22
1756067130, 15m, 21074691, FT8, G0VFB, IO82XO, 223, 'Tx', N4ACE, EM48RO41, 291, -17
1756067233, 15m, 21074993, FT8, G4SZD, IO94DR, 223, 'Tx', N4ACE, EM48RO41, 291, -12
1756067217, 15m, 21075937, FT8, M0KYU, IO83VL, 223, 'Tx', N2SO, FN31CG64, 291, -19
1756067234, 15m, 21075204, FT8, M1CAV, IO93LL, 223, 'Tx', N2SO, FN31CG64, 291, -13
1756067206, 15m, 21074450, FT8, M0MLS, IO92AN, 223, 'Tx', KN4CPA, EL96AN79, 291, -22
1756067190, 20m, 14076685, FT8, G1OVA, IO93GM, 223, 'Tx', EB4HDM, IN80BN, 281, -10
1756067189, 15m, 21075410, FT8, G3YZO, JO02CA, 223, 'Tx', K3TEF, FN10UD, 291, -24
1756067234, 15m, 21075219, FT8, M1CAV, IO93LL, 223, 'Tx', K3TEF, FN10UD, 291, -16
